proto,packets_count,f_pkts_num,min_fiat,min_biat,flow_packets_per_second,f_min_pkt_size,f_max_pkt_size,b_min_pkt_size,b_max_pkt_size,b_mean_pkt_size,diag_step_fiat,diag_step_biat,diag_steps,tcp_syn_count,tcp_ack_count,tcp_rst_count,tcp_fin_count,tcp_urg_count,tcp_retr_count,pktiat_0,pktiat_1,pktiat_2,pktiat_3,pktiat_4,pktiat_7,pktiat_8,pktiat_9,pktlen_1,pktlen_8,type
6,10,4,0.0015850067138671,1.1205673217773438e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.007255077362060547,0.0004069805145263672,2.6941299438476562e-05,1.1205673217773438e-05,0.0012898445129394531,0.0002951622009277344,0.003229856491088867,66,66,1
6,10,4,0.0014591217041015,9.059906005859377e-06,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0069539546966552734,0.0004761219024658203,1.9073486328125e-05,2.288818359375e-05,0.00121307373046875,0.0002460479736328125,0.0026788711547851562,66,66,1
6,10,4,3.0994415283203125e-05,1.0013580322265623e-05,0,66,583,66,1414,814.5,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.06412696838378906,0.0002448558807373047,3.504753112792969e-05,1.0013580322265625e-05,3.0994415283203125e-05,0.0008690357208251953,0.0001590251922607422,66,461,1
6,10,4,0.0014920234680175,1.1920928955078123e-05,1,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.004291057586669922,0.0004169940948486328,2.7894973754882812e-05,2.8133392333984375e-05,0.0013620853424072266,0.00012993812561035156,0.003081083297729492,66,66,1
6,10,4,0.0014731884002685,1.0967254638671877e-05,0,66,583,66,1274,814.5,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0044019222259521484,0.0003190040588378906,2.002716064453125e-05,1.0967254638671875e-05,0.0012860298156738281,0.00018715858459472656,0.0026798248291015625,66,66,1
6,10,4,2.5033950805664062e-05,1.4066696166992188e-05,0,66,583,66,1414,814.5,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.04625296592712402,0.0002999305725097656,4.696846008300781e-05,1.4066696166992188e-05,2.5033950805664062e-05,0.0005280971527099609,0.00016880035400390625,66,461,1
6,10,4,0.0013270378112792,1.2874603271484377e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.006942033767700195,0.0004968643188476562,1.71661376953125e-05,2.6941299438476562e-05,0.0011620521545410156,0.00016498565673828125,0.003857135772705078,66,66,1
6,10,4,0.0014760494232177,1.1920928955078123e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.006992816925048828,0.00046515464782714844,2.5033950805664062e-05,1.1920928955078125e-05,0.0013210773468017578,0.00015497207641601562,0.0034830570220947266,66,66,1
6,10,4,0.0006492137908935,1.6927719116210938e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0039670467376708984,0.00047898292541503906,2.09808349609375e-05,3.1948089599609375e-05,0.0004792213439941406,0.00016999244689941406,0.003162860870361328,66,66,1
6,10,4,0.0012519359588623,8.106231689453125e-06,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0040400028228759766,0.000576019287109375,1.0013580322265625e-05,8.106231689453125e-06,0.0010838508605957031,0.00016808509826660156,0.003014087677001953,66,66,1
6,10,5,0.0003209114074707,0.0005269050598144,0,66,928,66,1414,597.4,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0071980953216552734,0.0005269050598144531,0.00013589859008789062,0.0032281875610351562,0.003941059112548828,0.00028204917907714844,0.01186990737915039,66,66,1
6,10,5,0.0002620220184326,1.71661376953125e-05,0,66,927,66,1414,597.4,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.007055997848510742,1.71661376953125e-05,0.00011801719665527344,0.00044083595275878906,0.0036020278930664062,0.0002338886260986328,0.01552891731262207,66,66,1
6,10,4,0.0011191368103027,1.3113021850585938e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.013720035552978516,0.00033783912658691406,3.600120544433594e-05,1.3113021850585938e-05,0.0009281635284423828,0.00019097328186035156,0.003648042678833008,66,66,1
6,10,5,0.0001790523529052,0.0004298686981201,0,66,928,66,1414,597.4,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.007116079330444336,0.0004298686981201172,0.00017690658569335938,0.0003540515899658203,0.003226041793823242,0.0002808570861816406,0.009814977645874023,66,66,1
6,10,4,0.0017488002777099,7.867813110351562e-06,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.017483949661254883,0.0005390644073486328,2.8133392333984375e-05,7.867813110351562e-06,0.0015859603881835938,0.0001628398895263672,0.0031490325927734375,66,66,1
6,10,4,0.0023179054260253,9.059906005859377e-06,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.004364967346191406,0.0006420612335205078,2.6941299438476562e-05,2.09808349609375e-05,0.0021278858184814453,0.0001900196075439453,0.0030450820922851562,66,66,1
6,10,4,0.0021538734436035,1.1920928955078123e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.006883859634399414,0.0006830692291259766,3.1948089599609375e-05,2.9087066650390625e-05,0.0019099712371826172,0.00024390220642089844,0.004831075668334961,66,66,1
6,10,4,0.0016360282897949,1.0013580322265623e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.007261037826538086,0.00046706199645996094,2.288818359375e-05,1.0013580322265625e-05,0.0013790130615234375,0.0002570152282714844,0.003453969955444336,66,66,1
6,10,4,0.0009548664093017,8.106231689453125e-06,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.004737138748168945,0.0004019737243652344,3.790855407714844e-05,1.0013580322265625e-05,0.0007359981536865234,0.00021886825561523438,0.0034351348876953125,66,66,1
6,10,4,0.0013680458068847,1.4066696166992188e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.007117033004760742,0.0005168914794921875,3.0994415283203125e-05,1.4066696166992188e-05,0.0011219978332519531,0.0002460479736328125,0.0035359859466552734,66,66,1
6,10,4,0.0006630420684814,1.0967254638671877e-05,0,66,583,66,1274,826.1666666666666,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.004425048828125,0.0005640983581542969,2.193450927734375e-05,0.00012493133544921875,0.0004050731658935547,0.0021409988403320312,0.0001780986785888672,66,531,1
6,10,4,0.0006937980651855,9.059906005859377e-06,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.00727391242980957,0.0004761219024658203,3.3855438232421875e-05,1.0013580322265625e-05,0.0005578994750976562,0.00013589859008789062,0.003704071044921875,66,66,1
6,10,4,0.0017762184143066,1.1205673217773438e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.004238128662109375,0.0005269050598144531,2.193450927734375e-05,1.1205673217773438e-05,0.0015370845794677734,0.0002391338348388672,0.004246950149536133,66,66,1
6,10,4,0.0027809143066406,9.059906005859377e-06,1,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.004422187805175781,0.0007889270782470703,3.1948089599609375e-05,1.0013580322265625e-05,0.0025599002838134766,0.00022101402282714844,0.002978086471557617,66,66,1
