proto,packets_count,total_fiat,f_pkts_num,min_fiat,min_biat,flow_packets_per_second,f_min_pkt_size,f_max_pkt_size,b_min_pkt_size,diag_step_fiat,diag_step_biat,diag_steps,tcp_syn_count,tcp_ack_count,tcp_rst_count,tcp_fin_count,tcp_urg_count,tcp_retr_count,pktiat_0,pktiat_1,pktiat_2,pktiat_7,pktiat_9,pktlen_1,pktlen_5,pktlen_6,pktlen_7,pktlen_8,pktlen_9,type
6,10,0.0111000537872314,4,0.0005919933319091,1.0013580322265623e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0037550926208496094,0.00032782554626464844,0.00015497207641601562,0.0036649703979492188,66,66,461,66,146,66,0
6,10,0.0100669860839843,5,0.0001180171966552,2.408027648925781e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003643035888671875,0.00024700164794921875,0.0005168914794921875,0.005259990692138672,66,66,66,461,66,146,0
6,10,0.167788028717041,5,0.0004470348358154,1.4066696166992188e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003610849380493164,0.00017905235290527344,1.4066696166992188e-05,0.15970206260681152,66,66,393,128,66,164,0
6,10,0.1858839988708496,5,0.0029430389404296,1.5020370483398438e-05,0,66,735,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004149913787841797,0.00018215179443359375,1.5020370483398438e-05,0.1745760440826416,66,66,393,128,66,164,0
6,10,0.008631944656372,4,0.0006101131439208,1.7881393432617188e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0037539005279541016,0.00037097930908203125,0.00019407272338867188,0.0036110877990722656,66,66,461,66,146,66,0
6,10,0.0111169815063476,4,0.0004589557647705,9.059906005859377e-06,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004271984100341797,0.0003979206085205078,0.00013113021850585938,0.004172086715698242,66,66,461,66,146,66,0
6,10,0.0092489719390869,4,0.0012810230255126,8.106231689453125e-06,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004175901412963867,0.0002951622009277344,0.00029206275939941406,0.003756999969482422,66,66,461,66,146,66,0
6,10,0.0092711448669433,4,0.0005099773406982,1.9073486328125e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004027128219604492,0.0003559589385986328,0.00014901161193847656,0.003701925277709961,66,66,461,66,146,66,0
6,10,0.0135278701782226,4,0.0007209777832031,1.2874603271484377e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003857851028442383,0.0003349781036376953,0.0001990795135498047,0.003535032272338867,66,66,461,66,146,66,0
6,10,0.0112290382385253,4,0.0006971359252929,2.288818359375e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003779172897338867,0.0003249645233154297,0.0001430511474609375,0.0037610530853271484,66,66,461,66,146,66,0
