proto,packets_count,f_pkts_num,min_fiat,min_biat,flow_packets_per_second,f_min_pkt_size,f_max_pkt_size,b_min_pkt_size,b_max_pkt_size,b_mean_pkt_size,diag_step_fiat,diag_step_biat,diag_steps,tcp_syn_count,tcp_ack_count,tcp_rst_count,tcp_fin_count,tcp_urg_count,tcp_retr_count,pktiat_0,pktiat_1,pktiat_2,pktiat_3,pktiat_4,pktiat_7,pktiat_8,pktiat_9,pktlen_1,pktlen_8,type,total_fiat,pktlen_5,pktlen_6,pktlen_7,pktlen_9,tcp_psh_count,pktiat_5,pktlen_0,pktlen_4
6,10,4,3.0994415283203125e-05,1.0013580322265623e-05,0,66,583.0,66,1414.0,814.5,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.064126968383789,0.0002448558807373,3.504753112792969e-05,1.0013580322265623e-05,3.0994415283203125e-05,0.0008690357208251,0.0001590251922607,66,461,1,,,,,,,,,
6,10,4,0.0014920234680175,1.1920928955078123e-05,1,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0042910575866699,0.0004169940948486,2.789497375488281e-05,2.813339233398437e-05,0.0013620853424072,0.0001299381256103,0.0030810832977294,66,66,1,,,,,,,,,
6,10,4,0.0014731884002685,1.0967254638671877e-05,0,66,583.0,66,1274.0,814.5,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0044019222259521,0.0003190040588378,2.002716064453125e-05,1.0967254638671877e-05,0.0012860298156738,0.0001871585845947,0.0026798248291015,66,66,1,,,,,,,,,
6,10,4,2.5033950805664062e-05,1.4066696166992188e-05,0,66,583.0,66,1414.0,814.5,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.046252965927124,0.0002999305725097,4.696846008300781e-05,1.4066696166992188e-05,2.5033950805664062e-05,0.0005280971527099,0.0001688003540039,66,461,1,,,,,,,,,
6,10,4,0.0013270378112792,1.2874603271484377e-05,0,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0069420337677001,0.0004968643188476,1.71661376953125e-05,2.694129943847656e-05,0.001162052154541,0.0001649856567382,0.003857135772705,66,66,1,,,,,,,,,
6,10,4,0.0014760494232177,1.1920928955078123e-05,0,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0069928169250488,0.0004651546478271,2.5033950805664062e-05,1.1920928955078123e-05,0.0013210773468017,0.000154972076416,0.0034830570220947,66,66,1,,,,,,,,,
6,10,4,0.0006492137908935,1.6927719116210938e-05,0,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0039670467376708,0.000478982925415,2.09808349609375e-05,3.1948089599609375e-05,0.0004792213439941,0.0001699924468994,0.0031628608703613,66,66,1,,,,,,,,,
6,10,4,0.0012519359588623,8.106231689453125e-06,0,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0040400028228759,0.0005760192871093,1.0013580322265623e-05,8.106231689453125e-06,0.0010838508605957,0.0001680850982666,0.0030140876770019,66,66,1,,,,,,,,,
6,10,5,0.0003209114074707,0.0005269050598144,0,66,928.0,66,1414.0,597.4,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0071980953216552,0.0005269050598144,0.0001358985900878,0.0032281875610351,0.0039410591125488,0.0002820491790771,0.0118699073791503,66,66,1,,,,,,,,,
6,10,5,0.0002620220184326,1.71661376953125e-05,0,66,927.0,66,1414.0,597.4,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0070559978485107,1.71661376953125e-05,0.0001180171966552,0.0004408359527587,0.0036020278930664,0.0002338886260986,0.015528917312622,66,66,1,,,,,,,,,
